driverId,circuitId,lap,statusId,position_lap,driver_name
822,14,38,11,16,Valtteri Bottas
1,70,10,1,4,Lewis Hamilton
846,77,27,1,16,Lando Norris
1,4,8,1,19,Lewis Hamilton
839,13,15,1,11,Esteban Ocon
1,9,6,1,8,Lewis Hamilton
825,11,49,11,17,Kevin Magnussen
855,14,15,1,10,Guanyu Zhou
842,15,4,1,7,Pierre Gasly
807,3,36,11,17,Nico Hülkenberg
847,79,27,1,8,George Russell
854,15,9,11,13,Mick Schumacher
848,3,53,1,15,Alexander Albon
825,11,1,11,13,Kevin Magnussen
856,14,31,1,13,Nyck de Vries
822,7,31,1,8,Valtteri Bottas
832,18,69,1,3,Carlos Sainz
849,21,7,11,15,Nicholas Latifi
852,34,3,140,20,Yuki Tsunoda
846,15,57,1,4,Lando Norris
815,6,53,1,1,Sergio Pérez
858,4,38,11,20,Logan Sargeant
817,34,25,1,8,Daniel Ricciardo
847,32,31,1,1,George Russell
830,77,42,1,1,Max Verstappen
830,21,44,1,1,Max Verstappen
844,70,50,1,3,Charles Leclerc
830,24,37,1,1,Max Verstappen
844,24,42,1,2,Charles Leclerc
855,6,61,11,14,Guanyu Zhou
846,69,13,1,8,Lando Norris
822,73,13,11,19,Valtteri Bottas
4,3,42,1,4,Fernando Alonso
840,69,6,4,5,Lance Stroll
825,4,44,12,17,Kevin Magnussen
830,39,17,1,1,Max Verstappen
840,14,14,5,11,Lance Stroll
1,18,24,1,2,Lewis Hamilton
847,70,69,1,8,George Russell
20,6,51,1,11,Sebastian Vettel
815,13,12,1,2,Sergio Pérez
20,6,24,1,11,Sebastian Vettel
830,6,23,1,1,Max Verstappen
847,11,28,1,1,George Russell
1,70,23,1,5,Lewis Hamilton
847,11,17,1,7,George Russell
844,77,4,1,9,Charles Leclerc
842,6,15,1,7,Pierre Gasly
852,73,51,1,10,Yuki Tsunoda
849,69,7,1,19,Nicholas Latifi
4,32,56,5,7,Fernando Alonso
840,11,8,11,10,Lance Stroll
815,6,6,12,18,Sergio Pérez
847,39,34,1,5,George Russell
822,6,20,11,13,Valtteri Bottas
822,4,32,11,15,Valtteri Bottas
848,77,8,23,15,Alexander Albon
825,73,26,1,15,Kevin Magnussen
822,22,16,1,15,Valtteri Bottas
4,7,52,1,6,Fernando Alonso
852,22,11,1,10,Yuki Tsunoda
825,9,2,1,14,Kevin Magnussen
847,1,43,1,3,George Russell
817,13,17,1,13,Daniel Ricciardo
817,15,45,1,5,Daniel Ricciardo
855,7,49,11,17,Guanyu Zhou
856,3,29,11,16,Nyck de Vries
815,73,50,1,2,Sergio Pérez
847,4,24,1,3,George Russell
807,7,24,11,15,Nico Hülkenberg
817,14,33,44,10,Daniel Ricciardo
822,3,14,1,8,Valtteri Bottas
4,32,19,5,7,Fernando Alonso
848,4,44,11,17,Alexander Albon
1,7,10,1,2,Lewis Hamilton
854,13,40,11,17,Mick Schumacher
839,34,37,1,9,Esteban Ocon
855,24,18,11,17,Guanyu Zhou
848,4,52,11,16,Alexander Albon
822,13,15,1,14,Valtteri Bottas
846,14,29,1,5,Lando Norris
854,1,57,11,13,Mick Schumacher
815,1,7,1,14,Sergio Pérez
846,77,5,1,20,Lando Norris
825,6,5,130,16,Kevin Magnussen
849,34,38,130,16,Nicholas Latifi
1,9,51,1,3,Lewis Hamilton
817,39,70,1,17,Daniel Ricciardo
858,73,6,1,14,Logan Sargeant
807,13,31,1,15,Nico Hülkenberg
4,79,36,1,3,Fernando Alonso
847,70,60,1,5,George Russell
839,70,15,1,3,Esteban Ocon
20,79,39,4,15,Sebastian Vettel
1,11,48,1,2,Lewis Hamilton
839,69,32,1,12,Esteban Ocon
855,14,8,1,10,Guanyu Zhou
4,6,51,1,7,Fernando Alonso
852,3,51,1,11,Yuki Tsunoda
20,39,25,1,17,Sebastian Vettel
852,69,18,1,14,Yuki Tsunoda
840,32,43,11,18,Lance Stroll
852,6,61,11,17,Yuki Tsunoda
1,6,63,1,4,Lewis Hamilton
846,18,15,6,5,Lando Norris
807,6,38,12,16,Nico Hülkenberg
830,77,42,1,2,Max Verstappen
830,9,1,1,2,Max Verstappen
847,1,34,1,3,George Russell
20,21,60,1,8,Sebastian Vettel
1,6,66,1,4,Lewis Hamilton
855,7,61,11,16,Guanyu Zhou
852,77,4,1,14,Yuki Tsunoda
817,21,24,11,15,Daniel Ricciardo
848,4,52,12,18,Alexander Albon
4,69,25,1,16,Fernando Alonso
852,7,45,3,11,Yuki Tsunoda
849,4,40,12,16,Nicholas Latifi
846,32,12,11,10,Lando Norris
1,1,11,1,4,Lewis Hamilton
848,3,47,1,10,Alexander Albon
852,4,48,11,10,Yuki Tsunoda
825,79,5,33,12,Kevin Magnussen
1,7,16,1,2,Lewis Hamilton
849,7,3,1,20,Nicholas Latifi
840,7,13,1,14,Lance Stroll
822,3,1,1,8,Valtteri Bottas
855,34,29,16,18,Guanyu Zhou
842,6,57,1,7,Pierre Gasly
857,7,2,1,7,Oscar Piastri
822,1,55,1,14,Valtteri Bottas
852,24,13,1,11,Yuki Tsunoda
854,14,49,1,12,Mick Schumacher
852,6,4,12,9,Yuki Tsunoda
847,21,36,1,5,George Russell
815,70,7,130,20,Sergio Pérez
855,34,43,16,16,Guanyu Zhou
844,7,69,1,5,Charles Leclerc
825,1,55,11,13,Kevin Magnussen
846,11,47,1,3,Lando Norris
840,32,68,11,15,Lance Stroll
842,79,46,1,6,Pierre Gasly
807,11,37,11,12,Nico Hülkenberg
839,73,41,1,9,Esteban Ocon
849,69,13,1,19,Nicholas Latifi
830,73,10,1,2,Max Verstappen
844,18,62,1,5,Charles Leclerc
847,39,64,1,2,George Russell
848,79,25,1,17,Alexander Albon
858,13,9,1,19,Logan Sargeant
832,4,21,1,7,Carlos Sainz
852,79,2,1,15,Yuki Tsunoda
844,13,36,1,3,Charles Leclerc
825,39,14,1,12,Kevin Magnussen
830,39,46,1,1,Max Verstappen
830,34,13,1,2,Max Verstappen
855,3,19,11,15,Guanyu Zhou
852,70,66,11,16,Yuki Tsunoda
839,77,28,1,8,Esteban Ocon
847,18,38,1,1,George Russell
807,77,32,1,12,Nico Hülkenberg
855,6,56,11,14,Guanyu Zhou
839,6,47,1,9,Esteban Ocon
846,24,43,1,7,Lando Norris
4,39,22,1,9,Fernando Alonso
854,32,17,11,18,Mick Schumacher
815,11,13,1,6,Sergio Pérez
852,70,1,11,20,Yuki Tsunoda
815,69,26,1,3,Sergio Pérez
857,7,60,1,12,Oscar Piastri
815,39,70,1,6,Sergio Pérez
842,3,24,1,12,Pierre Gasly
844,73,5,1,2,Charles Leclerc
852,77,25,1,10,Yuki Tsunoda
840,4,12,11,10,Lance Stroll
1,70,43,1,4,Lewis Hamilton
842,77,36,1,10,Pierre Gasly
846,13,32,1,13,Lando Norris
840,39,58,1,10,Lance Stroll
847,7,21,23,19,George Russell
852,15,13,3,10,Yuki Tsunoda
815,15,9,1,1,Sergio Pérez
847,73,32,1,3,George Russell
815,13,17,1,2,Sergio Pérez
807,73,16,11,10,Nico Hülkenberg
852,79,4,1,15,Yuki Tsunoda
825,11,66,11,18,Kevin Magnussen
854,15,30,11,11,Mick Schumacher
830,77,15,1,6,Max Verstappen
1,4,44,1,2,Lewis Hamilton
832,6,44,1,6,Carlos Sainz
817,11,28,11,18,Daniel Ricciardo
852,3,49,1,11,Yuki Tsunoda
817,32,28,11,12,Daniel Ricciardo
1,70,2,1,4,Lewis Hamilton
4,34,45,1,5,Fernando Alonso
846,15,50,1,4,Lando Norris
839,14,12,1,12,Esteban Ocon
822,24,31,11,18,Valtteri Bottas
846,21,25,1,4,Lando Norris
846,24,26,1,7,Lando Norris
854,18,46,1,10,Mick Schumacher
20,13,43,1,8,Sebastian Vettel
822,6,57,11,12,Valtteri Bottas
830,1,18,1,1,Max Verstappen
857,11,25,1,3,Oscar Piastri
848,6,13,11,13,Alexander Albon
842,6,17,1,7,Pierre Gasly
840,13,25,1,11,Lance Stroll
20,4,28,11,13,Sebastian Vettel
815,6,8,1,3,Sergio Pérez
822,1,20,1,17,Valtteri Bottas
854,22,16,1,18,Mick Schumacher
825,4,13,12,20,Kevin Magnussen
840,18,45,1,12,Lance Stroll
807,79,56,1,15,Nico Hülkenberg
847,15,11,12,16,George Russell
846,39,38,1,7,Lando Norris
832,7,7,1,11,Carlos Sainz
832,18,27,1,4,Carlos Sainz
807,13,28,1,15,Nico Hülkenberg
848,6,37,11,18,Alexander Albon
844,9,3,1,4,Charles Leclerc
822,69,7,20,10,Valtteri Bottas
852,24,27,1,11,Yuki Tsunoda
842,13,32,1,9,Pierre Gasly
1,70,27,1,4,Lewis Hamilton
832,70,25,1,2,Carlos Sainz
855,3,14,11,19,Guanyu Zhou
844,6,58,1,4,Charles Leclerc
817,21,32,11,18,Daniel Ricciardo
822,6,32,11,13,Valtteri Bottas
849,39,66,11,18,Nicholas Latifi
822,1,19,1,16,Valtteri Bottas
852,4,6,1,11,Yuki Tsunoda
849,70,6,140,16,Nicholas Latifi
858,9,23,1,13,Logan Sargeant
856,7,39,11,18,Nyck de Vries
825,9,14,5,18,Kevin Magnussen
822,13,12,1,16,Valtteri Bottas
830,32,46,1,1,Max Verstappen
842,6,18,1,7,Pierre Gasly
1,70,8,1,8,Lewis Hamilton
4,11,59,1,9,Fernando Alonso
20,34,34,1,12,Sebastian Vettel
807,79,2,1,11,Nico Hülkenberg
825,14,12,11,15,Kevin Magnussen
842,70,2,11,12,Pierre Gasly
815,79,25,1,3,Sergio Pérez
844,73,29,1,3,Charles Leclerc
858,6,54,12,19,Logan Sargeant
858,6,58,12,18,Logan Sargeant
844,11,10,1,3,Charles Leclerc
832,24,17,1,3,Carlos Sainz
857,1,36,1,11,Oscar Piastri
858,3,26,11,12,Logan Sargeant
1,1,44,1,4,Lewis Hamilton
842,6,29,1,7,Pierre Gasly
4,34,41,1,6,Fernando Alonso
840,22,4,1,11,Lance Stroll
849,24,55,130,19,Nicholas Latifi
842,1,9,1,9,Pierre Gasly
852,1,25,11,15,Yuki Tsunoda
842,13,24,1,16,Pierre Gasly
1,32,3,1,2,Lewis Hamilton
840,6,31,1,14,Lance Stroll
844,79,9,1,8,Charles Leclerc
830,24,41,1,1,Max Verstappen
830,3,11,1,1,Max Verstappen
822,3,15,1,7,Valtteri Bottas
855,7,11,1,8,Guanyu Zhou
844,70,36,1,2,Charles Leclerc
844,77,50,1,2,Charles Leclerc
842,4,52,11,14,Pierre Gasly
852,18,1,11,18,Yuki Tsunoda
840,70,5,11,11,Lance Stroll
830,7,38,1,1,Max Verstappen
839,32,62,11,8,Esteban Ocon
847,1,4,1,5,George Russell
1,6,4,1,5,Lewis Hamilton
1,4,52,1,2,Lewis Hamilton
854,6,13,3,17,Mick Schumacher
840,13,1,1,9,Lance Stroll
849,32,7,12,19,Nicholas Latifi
849,22,7,1,16,Nicholas Latifi
844,18,44,1,10,Charles Leclerc
848,77,26,130,17,Alexander Albon
817,7,8,1,9,Daniel Ricciardo
832,13,22,1,3,Carlos Sainz
840,11,21,11,9,Lance Stroll
832,13,5,130,8,Carlos Sainz
817,14,17,44,5,Daniel Ricciardo
815,11,15,1,6,Sergio Pérez
822,4,58,11,20,Valtteri Bottas
840,4,50,11,17,Lance Stroll
847,6,12,1,6,George Russell
848,4,31,12,17,Alexander Albon
840,7,68,1,11,Lance Stroll
858,9,4,1,16,Logan Sargeant
1,3,38,1,5,Lewis Hamilton
1,9,52,1,3,Lewis Hamilton
807,6,59,12,17,Nico Hülkenberg
832,11,28,1,6,Carlos Sainz
817,15,28,1,10,Daniel Ricciardo
852,21,48,1,8,Yuki Tsunoda
825,4,16,11,17,Kevin Magnussen
849,3,7,1,19,Nicholas Latifi
839,4,48,1,7,Esteban Ocon
855,39,34,1,12,Guanyu Zhou
4,14,6,34,7,Fernando Alonso
815,15,47,1,1,Sergio Pérez
852,32,48,130,11,Yuki Tsunoda
857,70,31,11,19,Oscar Piastri
852,1,27,1,11,Yuki Tsunoda
825,1,43,11,16,Kevin Magnussen
825,79,29,1,12,Kevin Magnussen
4,6,20,1,6,Fernando Alonso
815,15,49,1,1,Sergio Pérez
822,22,8,1,16,Valtteri Bottas
848,18,13,1,14,Alexander Albon
4,7,29,1,2,Fernando Alonso
830,11,19,1,7,Max Verstappen
825,9,51,1,10,Kevin Magnussen
817,73,50,1,8,Daniel Ricciardo
840,32,23,11,20,Lance Stroll
839,1,15,1,8,Esteban Ocon
4,77,1,1,1,Fernando Alonso
842,7,42,1,16,Pierre Gasly
844,70,48,1,3,Charles Leclerc
844,18,10,1,18,Charles Leclerc
20,34,50,1,11,Sebastian Vettel
20,24,6,1,9,Sebastian Vettel
825,4,5,11,13,Kevin Magnussen
20,7,6,1,19,Sebastian Vettel
830,9,40,1,1,Max Verstappen
830,79,29,1,1,Max Verstappen
4,13,40,1,6,Fernando Alonso
4,32,1,5,7,Fernando Alonso
807,4,54,11,15,Nico Hülkenberg
839,73,7,1,13,Esteban Ocon
842,24,22,11,19,Pierre Gasly
839,70,25,11,11,Esteban Ocon
822,18,9,1,10,Valtteri Bottas
815,11,40,1,5,Sergio Pérez
847,34,3,1,5,George Russell
817,73,7,1,12,Daniel Ricciardo
1,7,42,1,3,Lewis Hamilton
848,70,3,1,10,Alexander Albon
4,32,58,5,7,Fernando Alonso
822,11,55,11,12,Valtteri Bottas
840,4,63,1,6,Lance Stroll
822,77,19,141,10,Valtteri Bottas
846,4,29,1,7,Lando Norris
846,7,8,1,12,Lando Norris
20,70,5,11,18,Sebastian Vettel
848,73,29,1,14,Alexander Albon
854,79,23,1,15,Mick Schumacher
1,11,15,1,4,Lewis Hamilton
830,1,37,1,1,Max Verstappen
832,39,36,1,6,Carlos Sainz
1,7,62,1,3,Lewis Hamilton
4,6,11,1,2,Fernando Alonso
844,3,51,1,1,Charles Leclerc
846,14,10,1,6,Lando Norris
848,18,7,1,16,Alexander Albon
839,13,31,1,10,Esteban Ocon
825,11,38,11,16,Kevin Magnussen
857,4,41,11,13,Oscar Piastri
855,73,21,9,10,Guanyu Zhou
839,9,8,44,12,Esteban Ocon
847,70,31,1,9,George Russell
839,73,22,1,9,Esteban Ocon
844,73,21,1,3,Charles Leclerc
4,18,5,1,15,Fernando Alonso
840,70,34,1,12,Lance Stroll
822,7,32,1,8,Valtteri Bottas
844,77,38,1,1,Charles Leclerc
844,13,20,1,5,Charles Leclerc
1,70,33,1,4,Lewis Hamilton
830,79,56,1,1,Max Verstappen
20,32,12,11,14,Sebastian Vettel
847,15,57,12,14,George Russell
822,34,31,1,13,Valtteri Bottas
842,4,20,1,16,Pierre Gasly
1,9,3,1,8,Lewis Hamilton
817,7,43,1,12,Daniel Ricciardo
825,6,60,130,19,Kevin Magnussen
