raceId,year,circuitId,name_x,date,quali_date,driverId,constructorId,grid,points,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,qualifyId,number_y,position_y,q1,q2,q3,code,constructorRef,circuitRef,name,location,country,lat,lng,alt
224,1996,1,Australian Grand Prix,1996-03-10,1996-03-09,71,3,2,10.0,5570400,\N,\N,\N,\N,1,2030,5,2,1:32.509,\N,\N,\N,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
338,2010,1,Australian Grand Prix,2010-03-28,2010-03-27,807,3,15,0.0,\N,\N,\N,\N,\N,4,3364,10,15,1:25.866,1:25.748,\N,HUL,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
860,2012,1,Australian Grand Prix,2012-03-18,2012-03-17,811,3,14,0.0,\N,49,13,1:30.855,210.123,4,4979,19,14,1:27.004,1:26.663,\N,SEN,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
841,2011,1,Australian Grand Prix,2011-03-27,2011-03-26,813,3,15,0.0,\N,7,18,1:34.102,202.873,7,4551,12,15,1:26.298,1:26.768,\N,MAL,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
860,2012,1,Australian Grand Prix,2012-03-18,2012-03-17,813,3,8,0.0,\N,53,5,1:30.254,211.523,3,4973,18,8,1:26.803,1:26.206,1:25.908,MAL,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
880,2013,1,Australian Grand Prix,2013-03-17,2013-03-16,813,3,17,0.0,\N,12,21,1:32.915,205.465,20,5458,16,17,1:47.614,\N,\N,MAL,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
880,2013,1,Australian Grand Prix,2013-03-17,2013-03-16,822,3,16,0.0,\N,42,12,1:30.652,210.594,11,5457,17,16,1:47.328,1:40.290,\N,BOT,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
900,2014,1,Australian Grand Prix,2014-03-16,2014-03-15,822,3,15,10.0,5626349,56,3,1:32.616,206.128,1,5869,77,10,1:31.601,1:43.852,1:48.147,BOT,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
926,2015,1,Australian Grand Prix,2015-03-15,2015-03-14,822,3,0,0.0,\N,\N,0,\N,\N,54,6314,77,6,1:29.641,1:27.796,1:28.087,BOT,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
948,2016,1,Australian Grand Prix,2016-03-20,2016-03-19,822,3,16,4.0,6570718,51,14,1:32.725,205.886,1,6693,77,11,1:27.135,1:25.961,\N,BOT,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
969,2017,1,Australian Grand Prix,2017-03-26,2017-03-25,840,3,20,0.0,\N,38,14,1:29.389,213.569,23,7158,18,19,1:27.143,\N,\N,STR,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
989,2018,1,Australian Grand Prix,2018-03-25,2018-03-24,840,3,13,0.0,5451571,55,14,1:28.511,215.688,1,7553,18,14,1:24.464,1:24.230,,STR,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
989,2018,1,Australian Grand Prix,2018-03-25,2018-03-24,845,3,19,0.0,\N,3,20,1:32.573,206.224,23,7558,35,19,1:24.922,,,SIR,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
1076,2022,1,Australian Grand Prix,2022-04-10,2022-04-09,848,3,20,1.0,5345930,54,12,1:22.589,230.064,1,9248,23,16,1:20.135,,,ALB,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
1100,2023,1,Australian Grand Prix,2023-04-02,2023-04-01,848,3,8,0.0,\N,6,19,1:23.349,227.966,3,9680,23,8,1:17.962,1:17.761,1:17.609,ALB,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
1010,2019,1,Australian Grand Prix,2019-03-17,2019-03-16,847,3,19,0.0,\N,55,17,1:28.713,215.197,12,7978,63,19,1:24.360,\N,\N,RUS,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
1076,2022,1,Australian Grand Prix,2022-04-10,2022-04-09,849,3,18,0.0,\N,49,18,1:23.882,226.518,11,9251,6,19,1:21.372,,,LAT,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
1100,2023,1,Australian Grand Prix,2023-04-02,2023-04-01,858,3,18,0.0,\N,50,13,1:21.456,233.264,4,9690,2,18,1:18.557,,,SAR,williams,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
338,2010,1,Australian Grand Prix,2010-03-28,2010-03-27,18,1,4,25.0,5616531,52,6,1:29.291,213.804,1,3353,1,4,1:24.897,1:24.531,1:24.675,BUT,mclaren,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10
